AALI,Astra Agro Lestari Tbk
ABBA,Mahaka Media Tbk
ABDA,Asuransi Bina Dana Arta Tbk
ABMM,ABM Investama Tbk
ACES,Ace Hardware Indonesia Tbk
ACST,PT Acset Indonusa Tbk.
ADCP,PT Adhi Commuter Properti Tbk
ADES,Akasha Wira International Tbk Tbk
ADHI,Adhi Karya  Tbk
ADMF,Adira Dinamika Multi Finance Tbk
ADMG,Polychem Indonesia Tbk
ADMR,PT Adaro Minerals Indonesia Tbk
ADRO,ADARO ENERGY Tbk
AEGS,PT Anugerah Spareparts Sejahtera Tbk.
AGAR,PT Asia Sejahtera Mina Tbk
AGII,PT Aneka Gas Industri Tbk.
AGRO,Bank Rakyat Indonesia Agroniaga Tbk
AGRS,PT Bank Agris Tbk
AHAP,Asuransi Harta Aman Pratama Tbk
AIMS,Akbar Indomakmur Stimec Tbk
AISA,Tiga Pilar Sejahtera Food Tbk
AKKU,PT Anugerah Kagum Karya Utama Tbk
AKPI,Argha Karya Prima Ind. Tbk
AKRA,AKR Corporindo Tbk
AKSI,PT Majapahit Inti Corpora Tbk.
ALDO,Alkindo Naratama Tbk
ALKA,Alakasa Industrindo Tbk
ALMI,Alumindo Light Metal Industry Tbk
ALTO,Tri Banyan Tirta Tbk
AMAG,Asuransi Multi Artha Guna Tbk
AMAN,PT Makmur Berkah Amanda Tb
AMAR,PT Bank Amar Indonesia Tbk.
AMFG,Asahimas Flat Glass Tbk
AMIN,PT Ateliers Mecaniques DIndonesie Tbk.
AMMN,PT Amman Mineral Internasional Tbk.
AMMS,PT Agung Menjangan Mas Tbk
AMOR,PT Ashmore Asset Management Indonesia Tbk.
AMRT,Sumber Alfaria Trijaya Tbk
ANDI,PT Andira Agro Tbk
ANJT,PT Austindo Nusantara Jaya Tbk.
ANTM,Aneka Tambang  Tbk
APEX,Apexindo Pratama Duta Tbk
APIC,PACIFIC STRATEGIC FINANCIAL Tbk
APII,PT Arita Prima Indonesia Tbk.
APLI,Asiaplast Industries Tbk
APLN,Agung Podomoro Land Tbk
APOL,Arpeni Pratama Ocean Line Tbk
ARCI,PT Archi Indonesia Tbk.
ARGO,Argo Pantes Tbk
ARII,Atlas Resources Tbk
ARKA,PT Arkha Jayanti Persada Tbk.
ARKO,PT Arkora Hydro Tbk.
ARMY,PT Armidian Karyatama Tbk
ARNA,Arwana Citramulia Tbk
ARTA,Arthavest Tbk
ARTI,Ratu Prabu Energi Tbk
ARTO,PT Bank Artos Indonesia Tbk
ASBI,Asuransi Bintang Tbk
ASDM,Asuransi Dayin Mitra Tbk
ASGR,Astra Graphia Tbk
ASHA,PT Cilacap Samudera Fishing Industry Tbk
ASII,Astra International Tbk
ASJT,Asuransi Jasa Tania Tbk
ASLC,PT Autopedia Sukses Lestari Tbk
ASMI,PT Asuransi Kresna Mitra Tbk.
ASPI,PT Andalan Sakti Primaindo Tbk.
ASRI,ALAM SUTERA REALTY Tbk
ASRM,Asuransi Ramayana Tbk
ASSA,Adi Sarana Armada Tbk
ATAP,PT Trimitra Prawara Goldland Tbk
ATIC,PT Anabatic Technologies Tbk
ATIC,Anabatic Technologies Tbk.
ATPK,Bara Jaya Internasional Tbk
AUTO,Astra Otoparts Tbk
AVIA,PT Avia Avian Tbk
AWAN,PT Era Digital Media Tbk
AXIO,PT Tera Data Indonusa Tbk
AYAM,PT Janu Putra Sejahtera Tbk.
AYLS,PT Agro Yasa Lestari Tbk
BABP,PT Bank MNC Internasional Tbk.
BABY,PT Multitrend Indo Tbk.
BACA,Bank Capital Indonesia Tbk
BAFI,PT Bussan Auto Finance Tbk.
BAJA,Saranacentral Bajatama Tbk
BALI,PT Bali Towerindo Sentra Tbk.
BANK,PT Bank Net Indonesia Syariah Tbk
BAPA,Bekasi Asri Pemula Tbk
